Timestamp;Measured energy production (MWh);Installed power (MW);Hours of storage
2020-09-03 20;153.09;249.5;37.5
2020-09-03 21;152.04;249.5;37.5
2020-09-03 22;152.32;249.5;37.5
2020-09-03 23;152.41;249.5;37.5
2020-09-04 00;150.85;249.5;37.5
2020-09-04 01;97.3;249.5;37.5
2020-09-04 02;87.42;249.5;37.5
2020-09-04 03;71.33;249.5;37.5
2020-09-04 04;31.06;249.5;37.5
2020-09-04 05;27.76;249.5;37.5
2020-09-04 06;20.39;249.5;37.5
2020-09-04 07;53.63;249.5;37.5
2020-09-04 08;215.93;249.5;37.5
2020-09-04 09;150.07;249.5;37.5
2020-09-04 10;138.18;249.5;37.5
2020-09-04 11;170.69;249.5;37.5
2020-09-04 12;213.98;249.5;37.5
2020-09-04 13;227.93;249.5;37.5
2020-09-04 14;228.75;249.5;37.5
2020-09-04 15;228.32;249.5;37.5
2020-09-04 16;227.04;249.5;37.5
2020-09-04 17;214.17;249.5;37.5
2020-09-04 18;164.05;249.5;37.5
2020-09-04 19;156.07;249.5;37.5
2020-09-04 20;155.43;249.5;37.5
2020-09-04 21;154.9;249.5;37.5
2020-09-04 22;154.7;249.5;37.5
2020-09-04 23;144.14;249.5;37.5
2020-09-05 00;91.49;249.5;37.5
2020-09-05 01;87.34;249.5;37.5
2020-09-05 02;89.36;249.5;37.5
2020-09-05 03;88.58;249.5;37.5
2020-09-05 04;54.09;249.5;37.5
2020-09-05 05;28.8;249.5;37.5
2020-09-05 06;21.95;249.5;37.5
2020-09-05 07;47.77;249.5;37.5
2020-09-05 08;198.46;249.5;37.5
2020-09-05 09;228.25;249.5;37.5
2020-09-05 10;228.23;249.5;37.5
2020-09-05 11;229.31;249.5;37.5
2020-09-05 12;229.42;249.5;37.5
2020-09-05 13;230;249.5;37.5
2020-09-05 14;229.61;249.5;37.5
2020-09-05 15;228.38;249.5;37.5
2020-09-05 16;227.95;249.5;37.5
2020-09-05 17;216.7;249.5;37.5
2020-09-05 18;158.47;249.5;37.5
2020-09-05 19;154.21;249.5;37.5
2020-09-05 20;153.74;249.5;37.5
2020-09-05 21;152.65;249.5;37.5
2020-09-05 22;152.52;249.5;37.5
2020-09-05 23;152.37;249.5;37.5
2020-09-06 00;152.53;249.5;37.5
2020-09-06 01;145.34;249.5;37.5
2020-09-06 02;94.95;249.5;37.5
2020-09-06 03;86.83;249.5;37.5
2020-09-06 04;46.11;249.5;37.5
2020-09-06 05;29.01;249.5;37.5
2020-09-06 06;23.22;249.5;37.5
2020-09-06 07;15.82;249.5;37.5
2020-09-06 08;98.45;249.5;37.5
2020-09-06 09;205.11;249.5;37.5
2020-09-06 10;227.31;249.5;37.5
2020-09-06 11;227.23;249.5;37.5
2020-09-06 12;227.65;249.5;37.5
2020-09-06 13;228.7;249.5;37.5
2020-09-06 14;228.04;249.5;37.5
2020-09-06 15;217.96;249.5;37.5
2020-09-06 16;211.31;249.5;37.5
2020-09-06 17;189.21;249.5;37.5
2020-09-06 18;141.8;249.5;37.5
2020-09-06 19;123.14;249.5;37.5
2020-09-06 20;118.93;249.5;37.5
2020-09-06 21;118.78;249.5;37.5
2020-09-06 22;106.83;249.5;37.5
2020-09-06 23;86.53;249.5;37.5
2020-09-07 00;86.97;249.5;37.5
2020-09-07 01;66.02;249.5;37.5
2020-09-07 02;32.05;249.5;37.5
2020-09-07 03;29.45;249.5;37.5
2020-09-07 04;29.24;249.5;37.5
2020-09-07 05;14.17;249.5;37.5
2020-09-07 06;0;249.5;37.5
2020-09-07 07;9.51;249.5;37.5
2020-09-07 08;152.3;249.5;37.5
2020-09-07 09;185.02;249.5;37.5
2020-09-07 10;184.44;249.5;37.5
2020-09-07 11;183.49;249.5;37.5
2020-09-07 12;181.21;249.5;37.5
2020-09-07 13;164;249.5;37.5
2020-09-07 14;182.12;249.5;37.5
2020-09-07 15;161.05;249.5;37.5
2020-09-07 16;129.14;249.5;37.5
2020-09-07 17;146.1;249.5;37.5
2020-09-07 18;102.24;249.5;37.5
2020-09-07 19;110.27;249.5;37.5
2020-09-07 20;111.28;249.5;37.5
2020-09-07 21;111.01;249.5;37.5
2020-09-07 22;111.1;249.5;37.5
2020-09-07 23;110.91;249.5;37.5
2020-09-08 00;70.71;249.5;37.5
2020-09-08 01;23.97;249.5;37.5
2020-09-08 02;0;249.5;37.5
2020-09-08 03;0;249.5;37.5
2020-09-08 04;0;249.5;37.5
2020-09-08 05;0;249.5;37.5
2020-09-08 06;0;249.5;37.5
2020-09-08 07;0;249.5;37.5
2020-09-08 08;32.03;249.5;37.5
2020-09-08 09;76.88;249.5;37.5
2020-09-08 10;143.35;249.5;37.5
2020-09-08 11;141.41;249.5;37.5
2020-09-08 12;174.75;249.5;37.5
2020-09-08 13;181.63;249.5;37.5
2020-09-08 14;173.58;249.5;37.5
2020-09-08 15;178.35;249.5;37.5
2020-09-08 16;181.31;249.5;37.5
2020-09-08 17;139.98;249.5;37.5
2020-09-08 18;128.29;249.5;37.5
2020-09-08 19;140.35;249.5;37.5
2020-09-08 20;134.75;249.5;37.5
2020-09-08 21;99.73;249.5;37.5
2020-09-08 22;91.43;249.5;37.5
2020-09-08 23;45.27;249.5;37.5
2020-09-09 00;27.87;249.5;37.5
2020-09-09 01;22.66;249.5;37.5
2020-09-09 02;0;249.5;37.5
2020-09-09 03;0;249.5;37.5
2020-09-09 04;0;249.5;37.5
2020-09-09 05;0;249.5;37.5
2020-09-09 06;0;249.5;37.5
2020-09-09 07;2.84;249.5;37.5
2020-09-09 08;147.74;249.5;37.5
2020-09-09 09;229.58;249.5;37.5
2020-09-09 10;230.02;249.5;37.5
2020-09-09 11;229.12;249.5;37.5
2020-09-09 12;209.68;249.5;37.5
2020-09-09 13;205.27;249.5;37.5
2020-09-09 14;198.25;249.5;37.5
2020-09-09 15;190.59;249.5;37.5
2020-09-09 16;153.37;249.5;37.5
2020-09-09 17;138;249.5;37.5
2020-09-09 18;135.88;249.5;37.5
2020-09-09 19;145.92;249.5;37.5
2020-09-09 20;144.39;249.5;37.5
2020-09-09 21;125.89;249.5;37.5
2020-09-09 22;95.43;249.5;37.5
2020-09-09 23;92.86;249.5;37.5
2020-09-10 00;57.99;249.5;37.5
2020-09-10 01;10.2;249.5;37.5
2020-09-10 02;0;249.5;37.5
2020-09-10 03;0;249.5;37.5
2020-09-10 04;0;249.5;37.5
2020-09-10 05;0;249.5;37.5
2020-09-10 06;0;249.5;37.5
2020-09-10 07;8.73;249.5;37.5
2020-09-10 08;176.76;249.5;37.5
2020-09-10 09;230.28;249.5;37.5
2020-09-10 10;228.58;249.5;37.5
2020-09-10 11;228.97;249.5;37.5
2020-09-10 12;229.05;249.5;37.5
2020-09-10 13;230.08;249.5;37.5
2020-09-10 14;230.46;249.5;37.5
2020-09-10 15;148.61;249.5;37.5
2020-09-10 16;222.16;249.5;37.5
2020-09-10 17;195.28;249.5;37.5
2020-09-10 18;135.08;249.5;37.5
2020-09-10 19;149.43;249.5;37.5
2020-09-10 20;153;249.5;37.5
2020-09-10 21;150.53;249.5;37.5
2020-09-10 22;148.46;249.5;37.5
2020-09-10 23;147.85;249.5;37.5
2020-09-11 00;117.1;249.5;37.5
2020-09-11 01;82.29;249.5;37.5
2020-09-11 02;53.24;249.5;37.5
2020-09-11 03;28.24;249.5;37.5
2020-09-11 04;27.49;249.5;37.5
2020-09-11 05;26.07;249.5;37.5
2020-09-11 06;22.6;249.5;37.5
2020-09-11 07;26.08;249.5;37.5
2020-09-11 08;182.69;249.5;37.5
2020-09-11 09;229.65;249.5;37.5
2020-09-11 10;228.22;249.5;37.5
2020-09-11 11;227.9;249.5;37.5
2020-09-11 12;215.05;249.5;37.5
2020-09-11 13;194.28;249.5;37.5
2020-09-11 14;177.62;249.5;37.5
2020-09-11 15;151.19;249.5;37.5
2020-09-11 16;169.12;249.5;37.5
2020-09-11 17;155.57;249.5;37.5
2020-09-11 18;123.89;249.5;37.5
2020-09-11 19;144.2;249.5;37.5
2020-09-11 20;145.19;249.5;37.5
2020-09-11 21;144.45;249.5;37.5
2020-09-11 22;98.37;249.5;37.5
2020-09-11 23;42.98;249.5;37.5
2020-09-12 00;33.54;249.5;37.5
2020-09-12 01;34.01;249.5;37.5
2020-09-12 02;21.19;249.5;37.5
2020-09-12 03;0;249.5;37.5
2020-09-12 04;0;249.5;37.5
2020-09-12 05;0;249.5;37.5
2020-09-12 06;0;249.5;37.5
2020-09-12 07;5.46;249.5;37.5
2020-09-12 08;147.03;249.5;37.5
2020-09-12 09;228.7;249.5;37.5
2020-09-12 10;230.71;249.5;37.5
2020-09-12 11;228.72;249.5;37.5
2020-09-12 12;229.48;249.5;37.5
2020-09-12 13;228.48;249.5;37.5
2020-09-12 14;226.66;249.5;37.5
2020-09-12 15;222.59;249.5;37.5
2020-09-12 16;218.21;249.5;37.5
2020-09-12 17;176.37;249.5;37.5
2020-09-12 18;127.32;249.5;37.5
2020-09-12 19;148.69;249.5;37.5
2020-09-12 20;146.42;249.5;37.5
2020-09-12 21;119.5;249.5;37.5
2020-09-12 22;90.36;249.5;37.5
2020-09-12 23;90.34;249.5;37.5
2020-09-13 00;56.25;249.5;37.5
2020-09-13 01;34.4;249.5;37.5
2020-09-13 02;25.4;249.5;37.5
2020-09-13 03;0;249.5;37.5
2020-09-13 04;0;249.5;37.5
2020-09-13 05;0;249.5;37.5
2020-09-13 06;0;249.5;37.5
2020-09-13 07;0;249.5;37.5
2020-09-13 08;97.23;249.5;37.5
2020-09-13 09;124.41;249.5;37.5
2020-09-13 10;45.66;249.5;37.5
2020-09-13 11;36.38;249.5;37.5
2020-09-13 12;47.27;249.5;37.5
2020-09-13 13;19.89;249.5;37.5
2020-09-13 14;3.66;249.5;37.5
2020-09-13 15;25.44;249.5;37.5
2020-09-13 16;44.49;249.5;37.5
2020-09-13 17;4.72;249.5;37.5
2020-09-13 18;0;249.5;37.5
2020-09-13 19;0;249.5;37.5
2020-09-13 20;0;249.5;37.5
2020-09-13 21;0;249.5;37.5
2020-09-13 22;0;249.5;37.5
2020-09-13 23;0;249.5;37.5
2020-09-14 00;0;249.5;37.5
2020-09-14 01;0;249.5;37.5
2020-09-14 02;0;249.5;37.5
2020-09-14 03;0;249.5;37.5
2020-09-14 04;0;249.5;37.5
2020-09-14 05;0;249.5;37.5
2020-09-14 06;0;249.5;37.5
2020-09-14 07;0;249.5;37.5
2020-09-14 08;1.48;249.5;37.5
2020-09-14 09;57.03;249.5;37.5
2020-09-14 10;25.31;249.5;37.5
2020-09-14 11;21.33;249.5;37.5
2020-09-14 12;156.21;249.5;37.5
2020-09-14 13;193.85;249.5;37.5
2020-09-14 14;122.97;249.5;37.5
2020-09-14 15;65.85;249.5;37.5
2020-09-14 16;30.88;249.5;37.5
2020-09-14 17;0;249.5;37.5
2020-09-14 18;0;249.5;37.5
2020-09-14 19;0;249.5;37.5
2020-09-14 20;0;249.5;37.5
2020-09-14 21;0;249.5;37.5
2020-09-14 22;0;249.5;37.5
2020-09-14 23;0;249.5;37.5
2020-09-15 00;0;249.5;37.5
2020-09-15 01;0;249.5;37.5
2020-09-15 02;0;249.5;37.5
2020-09-15 03;0;249.5;37.5
2020-09-15 04;0;249.5;37.5
2020-09-15 05;0;249.5;37.5
2020-09-15 06;0;249.5;37.5
2020-09-15 07;0;249.5;37.5
2020-09-15 08;18.52;249.5;37.5
2020-09-15 09;99.69;249.5;37.5
2020-09-15 10;154.27;249.5;37.5
2020-09-15 11;206.33;249.5;37.5
2020-09-15 12;213.64;249.5;37.5
2020-09-15 13;172.01;249.5;37.5
2020-09-15 14;202.72;249.5;37.5
2020-09-15 15;157.42;249.5;37.5
2020-09-15 16;176.65;249.5;37.5
2020-09-15 17;120.2;249.5;37.5
2020-09-15 18;91.69;249.5;37.5
2020-09-15 19;74.1;249.5;37.5
2020-09-15 20;32.69;249.5;37.5
2020-09-15 21;8.39;249.5;37.5
2020-09-15 22;0;249.5;37.5
2020-09-15 23;0;249.5;37.5
2020-09-16 00;0;249.5;37.5
2020-09-16 01;0;249.5;37.5
2020-09-16 02;0;249.5;37.5
2020-09-16 03;0;249.5;37.5
2020-09-16 04;0;249.5;37.5
2020-09-16 05;0;249.5;37.5
2020-09-16 06;0;249.5;37.5
2020-09-16 07;0;249.5;37.5
2020-09-16 08;95.08;249.5;37.5
2020-09-16 09;215.9;249.5;37.5
2020-09-16 10;227.77;249.5;37.5
2020-09-16 11;185.65;249.5;37.5
2020-09-16 12;202.25;249.5;37.5
2020-09-16 13;109.63;249.5;37.5
2020-09-16 14;45.13;249.5;37.5
2020-09-16 15;75.13;249.5;37.5
2020-09-16 16;46.46;249.5;37.5
2020-09-16 17;48.9;249.5;37.5
2020-09-16 18;19.5;249.5;37.5
2020-09-16 19;0;249.5;37.5
2020-09-16 20;0;249.5;37.5
2020-09-16 21;0;249.5;37.5
2020-09-16 22;0;249.5;37.5
2020-09-16 23;0;249.5;37.5
2020-09-17 00;0;249.5;37.5
2020-09-17 01;0;249.5;37.5
2020-09-17 02;0;249.5;37.5
2020-09-17 03;0;249.5;37.5
2020-09-17 04;0;249.5;37.5
2020-09-17 05;0;249.5;37.5
2020-09-17 06;0;249.5;37.5
2020-09-17 07;0;249.5;37.5
2020-09-17 08;0;249.5;37.5
2020-09-17 09;0;249.5;37.5
2020-09-17 10;0;249.5;37.5
2020-09-17 11;0;249.5;37.5
2020-09-17 12;0;249.5;37.5
2020-09-17 13;1.7;249.5;37.5
2020-09-17 14;10.72;249.5;37.5
2020-09-17 15;0;249.5;37.5
2020-09-17 16;17.6;249.5;37.5
2020-09-17 17;1.1;249.5;37.5
2020-09-17 18;0;249.5;37.5
2020-09-17 19;0;249.5;37.5
2020-09-17 20;0;249.5;37.5
2020-09-17 21;0;249.5;37.5
2020-09-17 22;0;249.5;37.5
2020-09-17 23;0;249.5;37.5
2020-09-18 00;0;249.5;37.5
2020-09-18 01;0;249.5;37.5
2020-09-18 02;0;249.5;37.5
2020-09-18 03;0;249.5;37.5
2020-09-18 04;0;249.5;37.5
2020-09-18 05;0;249.5;37.5
2020-09-18 06;0;249.5;37.5
2020-09-18 07;0;249.5;37.5
2020-09-18 08;0;249.5;37.5
2020-09-18 09;0;249.5;37.5
2020-09-18 10;0;249.5;37.5
2020-09-18 11;0;249.5;37.5
2020-09-18 12;0;249.5;37.5
2020-09-18 13;0;249.5;37.5
2020-09-18 14;0;249.5;37.5
2020-09-18 15;0;249.5;37.5
2020-09-18 16;28.89;249.5;37.5
2020-09-18 17;66.71;249.5;37.5
2020-09-18 18;64.67;249.5;37.5
2020-09-18 19;74.04;249.5;37.5
2020-09-18 20;26.01;249.5;37.5
2020-09-18 21;0;249.5;37.5
2020-09-18 22;0;249.5;37.5
2020-09-18 23;0;249.5;37.5
2020-09-19 00;0;249.5;37.5
2020-09-19 01;0;249.5;37.5
2020-09-19 02;0;249.5;37.5
2020-09-19 03;0;249.5;37.5
2020-09-19 04;0;249.5;37.5
2020-09-19 05;0;249.5;37.5
2020-09-19 06;0;249.5;37.5
2020-09-19 07;0;249.5;37.5
2020-09-19 08;53.18;249.5;37.5
2020-09-19 09;143.63;249.5;37.5
2020-09-19 10;173.42;249.5;37.5
2020-09-19 11;211.51;249.5;37.5
2020-09-19 12;208.62;249.5;37.5
2020-09-19 13;201.55;249.5;37.5
2020-09-19 14;198.74;249.5;37.5
2020-09-19 15;182.45;249.5;37.5
2020-09-19 16;156.05;249.5;37.5
2020-09-19 17;153.46;249.5;37.5
2020-09-19 18;119.4;249.5;37.5
2020-09-19 19;129.45;249.5;37.5
2020-09-19 20;129.18;249.5;37.5
2020-09-19 21;98.7;249.5;37.5
2020-09-19 22;32.65;249.5;37.5
2020-09-19 23;0;249.5;37.5
2020-09-20 00;0;249.5;37.5
2020-09-20 01;0;249.5;37.5
2020-09-20 02;0;249.5;37.5
2020-09-20 03;0;249.5;37.5
2020-09-20 04;0;249.5;37.5
2020-09-20 05;0;249.5;37.5
2020-09-20 06;0;249.5;37.5
2020-09-20 07;0;249.5;37.5
2020-09-20 08;63.68;249.5;37.5
2020-09-20 09;216.08;249.5;37.5
2020-09-20 10;206.09;249.5;37.5
2020-09-20 11;188.93;249.5;37.5
2020-09-20 12;147.09;249.5;37.5
2020-09-20 13;169.34;249.5;37.5
2020-09-20 14;161.15;249.5;37.5
2020-09-20 15;174.65;249.5;37.5
2020-09-20 16;213.65;249.5;37.5
2020-09-20 17;143.92;249.5;37.5
2020-09-20 18;133.95;249.5;37.5
2020-09-20 19;90.59;249.5;37.5
2020-09-20 20;63.6;249.5;37.5
2020-09-20 21;15.12;249.5;37.5
2020-09-20 22;0;249.5;37.5
2020-09-20 23;0;249.5;37.5
2020-09-21 00;0;249.5;37.5
2020-09-21 01;0;249.5;37.5
2020-09-21 02;0;249.5;37.5
2020-09-21 03;0;249.5;37.5
2020-09-21 04;0;249.5;37.5
2020-09-21 05;0;249.5;37.5
2020-09-21 06;0;249.5;37.5
2020-09-21 07;0;249.5;37.5
2020-09-21 08;0;249.5;37.5
2020-09-21 09;1.16;249.5;37.5
2020-09-21 10;19.81;249.5;37.5
2020-09-21 11;69.53;249.5;37.5
2020-09-21 12;54.2;249.5;37.5
2020-09-21 13;66.57;249.5;37.5
2020-09-21 14;74.48;249.5;37.5
2020-09-21 15;199.36;249.5;37.5
2020-09-21 16;225.24;249.5;37.5
2020-09-21 17;164.05;249.5;37.5
2020-09-21 18;20.93;249.5;37.5
2020-09-21 19;0;249.5;37.5
2020-09-21 20;0;249.5;37.5
2020-09-21 21;0;249.5;37.5
2020-09-21 22;0;249.5;37.5
2020-09-21 23;0;249.5;37.5
2020-09-22 00;0;249.5;37.5
2020-09-22 01;0;249.5;37.5
2020-09-22 02;0;249.5;37.5
2020-09-22 03;0;249.5;37.5
2020-09-22 04;0;249.5;37.5
2020-09-22 05;0;249.5;37.5
2020-09-22 06;0;249.5;37.5
2020-09-22 07;0;249.5;37.5
2020-09-22 08;28.64;249.5;37.5
2020-09-22 09;148.12;249.5;37.5
2020-09-22 10;189.2;249.5;37.5
2020-09-22 11;214.8;249.5;37.5
2020-09-22 12;173.89;249.5;37.5
2020-09-22 13;194.16;249.5;37.5
2020-09-22 14;213.77;249.5;37.5
2020-09-22 15;184.14;249.5;37.5
2020-09-22 16;148.26;249.5;37.5
2020-09-22 17;97.19;249.5;37.5
2020-09-22 18;90.71;249.5;37.5
2020-09-22 19;61.43;249.5;37.5
2020-09-22 20;23.37;249.5;37.5
2020-09-22 21;0;249.5;37.5
2020-09-22 22;0;249.5;37.5
2020-09-22 23;0;249.5;37.5
2020-09-23 00;0;249.5;37.5
2020-09-23 01;0;249.5;37.5
2020-09-23 02;0;249.5;37.5
2020-09-23 03;0;249.5;37.5
2020-09-23 04;0;249.5;37.5
2020-09-23 05;0;249.5;37.5
2020-09-23 06;0;249.5;37.5
2020-09-23 07;0;249.5;37.5
2020-09-23 08;0;249.5;37.5
2020-09-23 09;0;249.5;37.5
2020-09-23 10;0;249.5;37.5
2020-09-23 11;2.23;249.5;37.5
2020-09-23 12;26.69;249.5;37.5
2020-09-23 13;87.73;249.5;37.5
2020-09-23 14;117.39;249.5;37.5
2020-09-23 15;87.98;249.5;37.5
2020-09-23 16;212.67;249.5;37.5
2020-09-23 17;169.19;249.5;37.5
2020-09-23 18;82.1;249.5;37.5
2020-09-23 19;34.39;249.5;37.5
2020-09-23 20;19.77;249.5;37.5
2020-09-23 21;0;249.5;37.5
2020-09-23 22;0;249.5;37.5
2020-09-23 23;0;249.5;37.5
2020-09-24 00;0;249.5;37.5
2020-09-24 01;0;249.5;37.5
2020-09-24 02;0;249.5;37.5
2020-09-24 03;0;249.5;37.5
2020-09-24 04;0;249.5;37.5
2020-09-24 05;0;249.5;37.5
2020-09-24 06;0;249.5;37.5
2020-09-24 07;0;249.5;37.5
2020-09-24 08;0;249.5;37.5
2020-09-24 09;9.71;249.5;37.5
2020-09-24 10;67.61;249.5;37.5
2020-09-24 11;123.72;249.5;37.5
2020-09-24 12;129.99;249.5;37.5
2020-09-24 13;66.88;249.5;37.5
2020-09-24 14;18.49;249.5;37.5
2020-09-24 15;29.12;249.5;37.5
2020-09-24 16;33.59;249.5;37.5
2020-09-24 17;28.68;249.5;37.5
2020-09-24 18;22.99;249.5;37.5
2020-09-24 19;0;249.5;37.5
2020-09-24 20;0;249.5;37.5
2020-09-24 21;0;249.5;37.5
2020-09-24 22;0;249.5;37.5
2020-09-24 23;0;249.5;37.5
2020-09-25 00;0;249.5;37.5
2020-09-25 01;0;249.5;37.5
2020-09-25 02;0;249.5;37.5
2020-09-25 03;0;249.5;37.5
2020-09-25 04;0;249.5;37.5
2020-09-25 05;0;249.5;37.5
2020-09-25 06;0;249.5;37.5
2020-09-25 07;0;249.5;37.5
2020-09-25 08;3.4;249.5;37.5
2020-09-25 09;39.33;249.5;37.5
2020-09-25 10;79.6;249.5;37.5
2020-09-25 11;191.12;249.5;37.5
2020-09-25 12;207.85;249.5;37.5
2020-09-25 13;215.87;249.5;37.5
2020-09-25 14;222.34;249.5;37.5
2020-09-25 15;226.88;249.5;37.5
2020-09-25 16;230.32;249.5;37.5
2020-09-25 17;172.06;249.5;37.5
2020-09-25 18;122.01;249.5;37.5
2020-09-25 19;126.2;249.5;37.5
2020-09-25 20;67.51;249.5;37.5
2020-09-25 21;25.3;249.5;37.5
2020-09-25 22;0;249.5;37.5
2020-09-25 23;0;249.5;37.5
2020-09-26 00;0;249.5;37.5
2020-09-26 01;0;249.5;37.5
2020-09-26 02;0;249.5;37.5
2020-09-26 03;0;249.5;37.5
2020-09-26 04;0;249.5;37.5
2020-09-26 05;0;249.5;37.5
2020-09-26 06;0;249.5;37.5
2020-09-26 07;4.29;249.5;37.5
2020-09-26 08;149.02;249.5;37.5
2020-09-26 09;223.76;249.5;37.5
2020-09-26 10;225.46;249.5;37.5
2020-09-26 11;225.76;249.5;37.5
2020-09-26 12;224.21;249.5;37.5
2020-09-26 13;227.11;249.5;37.5
2020-09-26 14;225.44;249.5;37.5
2020-09-26 15;196.93;249.5;37.5
2020-09-26 16;162.11;249.5;37.5
2020-09-26 17;130.37;249.5;37.5
2020-09-26 18;137.08;249.5;37.5
2020-09-26 19;115.51;249.5;37.5
2020-09-26 20;116.71;249.5;37.5
2020-09-26 21;107.25;249.5;37.5
2020-09-26 22;87.33;249.5;37.5
2020-09-26 23;70.96;249.5;37.5
2020-09-27 00;34.68;249.5;37.5
2020-09-27 01;34.49;249.5;37.5
2020-09-27 02;22.35;249.5;37.5
2020-09-27 03;0;249.5;37.5
2020-09-27 04;0;249.5;37.5
2020-09-27 05;0;249.5;37.5
2020-09-27 06;0;249.5;37.5
2020-09-27 07;2.71;249.5;37.5
2020-09-27 08;103.34;249.5;37.5
2020-09-27 09;185.49;249.5;37.5
2020-09-27 10;220.75;249.5;37.5
2020-09-27 11;206.89;249.5;37.5
2020-09-27 12;163.29;249.5;37.5
2020-09-27 13;169.18;249.5;37.5
2020-09-27 14;202.33;249.5;37.5
2020-09-27 15;213.48;249.5;37.5
2020-09-27 16;197.79;249.5;37.5
2020-09-27 17;145.61;249.5;37.5
2020-09-27 18;138.78;249.5;37.5
2020-09-27 19;130.94;249.5;37.5
2020-09-27 20;84.74;249.5;37.5
2020-09-27 21;83.7;249.5;37.5
2020-09-27 22;61.17;249.5;37.5
2020-09-27 23;58.3;249.5;37.5
2020-09-28 00;34.35;249.5;37.5
2020-09-28 01;33.57;249.5;37.5
2020-09-28 02;2.99;249.5;37.5
2020-09-28 03;0;249.5;37.5
2020-09-28 04;0;249.5;37.5
2020-09-28 05;0;249.5;37.5
2020-09-28 06;0;249.5;37.5
2020-09-28 07;1.32;249.5;37.5
2020-09-28 08;120.76;249.5;37.5
2020-09-28 10;181.84;249.5;37.5
2020-09-28 11;184.43;249.5;37.5
2020-09-28 12;184.67;249.5;37.5
2020-09-28 13;186.07;249.5;37.5
2020-09-28 14;185.68;249.5;37.5
2020-09-28 15;185.05;249.5;37.5
2020-09-28 16;182.75;249.5;37.5
2020-09-28 17;134.84;249.5;37.5
2020-09-28 18;110.8;249.5;37.5
2020-09-28 19;111.72;249.5;37.5
2020-09-28 20;111.51;249.5;37.5
2020-09-28 21;111.9;249.5;37.5
2020-09-28 22;117.63;249.5;37.5
2020-09-28 23;104.72;249.5;37.5
2020-09-29 00;85.98;249.5;37.5
2020-09-29 01;69.4;249.5;37.5
2020-09-29 02;33.52;249.5;37.5
2020-09-29 03;33.52;249.5;37.5
2020-09-29 04;32.68;249.5;37.5
2020-09-29 05;32.59;249.5;37.5
2020-09-29 06;31.64;249.5;37.5
2020-09-29 07;17.91;249.5;37.5
2020-09-29 08;143.05;249.5;37.5
2020-09-29 09;228.93;249.5;37.5
2020-09-29 10;228.6;249.5;37.5
2020-09-29 11;230.61;249.5;37.5
2020-09-29 12;230.13;249.5;37.5
2020-09-29 13;230.66;249.5;37.5
2020-09-29 14;230.38;249.5;37.5
