Timestamp;Measured energy production (MWh);Installed power (MW)
2020-09-11 18;50.72;1418.38
2020-09-11 19;0.26;1418.38
2020-09-11 20;0.19;1418.38
2020-09-11 21;0.19;1418.38
2020-09-11 22;0.18;1418.38
2020-09-11 23;0.19;1418.38
2020-09-12 00;0.18;1418.38
2020-09-12 01;0.18;1418.38
2020-09-12 02;0.13;1418.38
2020-09-12 03;0.15;1418.38
2020-09-12 04;0.19;1418.38
2020-09-12 05;0.17;1418.38
2020-09-12 06;19.67;1418.38
2020-09-12 07;312.27;1418.38
2020-09-12 08;695.54;1418.38
2020-09-12 09;891.84;1418.38
2020-09-12 10;1002.74;1418.38
2020-09-12 11;1045.67;1418.38
2020-09-12 12;1049.71;1418.38
2020-09-12 13;991.56;1418.38
2020-09-12 14;816.08;1418.38
2020-09-12 15;515.67;1418.38
2020-09-12 16;331.37;1418.38
2020-09-12 17;211.02;1418.38
2020-09-12 18;32.37;1418.38
2020-09-12 19;0.25;1418.38
2020-09-12 20;0.20;1418.38
2020-09-12 21;0.16;1418.38
2020-09-12 22;0.18;1418.38
2020-09-12 23;0.20;1418.38
2020-09-13 00;0.16;1418.38
2020-09-13 01;0.25;1418.38
2020-09-13 02;0.10;1418.38
2020-09-13 03;0.14;1418.38
2020-09-13 04;0.16;1418.38
2020-09-13 05;0.19;1418.38
2020-09-13 06;17.32;1418.38
2020-09-13 07;154.15;1418.38
2020-09-13 08;356.81;1418.38
2020-09-13 09;598.59;1418.38
2020-09-13 10;674.90;1418.38
2020-09-13 11;791.26;1418.38
2020-09-13 12;909.50;1418.38
2020-09-13 13;877.83;1418.38
2020-09-13 14;812.08;1418.38
2020-09-13 15;748.27;1418.38
2020-09-13 16;650.01;1418.38
2020-09-13 17;290.47;1418.38
2020-09-13 18;42.61;1418.38
2020-09-13 19;0.33;1418.38
2020-09-13 20;0.17;1418.38
2020-09-13 21;0.20;1418.38
2020-09-13 22;0.18;1418.38
2020-09-13 23;0.17;1418.38
2020-09-14 00;0.17;1418.38
2020-09-14 01;0.17;1418.38
2020-09-14 02;0.12;1418.38
2020-09-14 03;0.18;1418.38
2020-09-14 04;0.21;1418.38
2020-09-14 05;0.20;1418.38
2020-09-14 06;6.69;1418.38
2020-09-14 07;113.19;1418.38
2020-09-14 08;499.44;1418.38
2020-09-14 09;789.53;1418.38
2020-09-14 10;939.11;1418.38
2020-09-14 11;1008.56;1418.38
2020-09-14 12;1002.34;1418.38
2020-09-14 13;908.45;1418.38
2020-09-14 14;914.94;1418.38
2020-09-14 15;724.52;1418.38
2020-09-14 16;439.43;1418.38
2020-09-14 17;200.51;1418.38
2020-09-14 18;30.33;1418.38
2020-09-14 19;0.33;1418.38
2020-09-14 20;0.19;1418.38
2020-09-14 21;0.13;1418.38
2020-09-14 22;0.18;1418.38
2020-09-14 23;0.20;1418.38
2020-09-15 00;0.18;1418.38
2020-09-15 01;0.18;1418.38
2020-09-15 02;0.12;1418.38
2020-09-15 03;0.18;1418.38
2020-09-15 04;0.18;1418.38
2020-09-15 05;0.17;1418.38
2020-09-15 06;17.18;1418.38
2020-09-15 07;288.79;1418.38
2020-09-15 08;675.70;1418.38
2020-09-15 09;907.12;1418.38
2020-09-15 10;1041.94;1418.38
2020-09-15 11;1096.38;1418.38
2020-09-15 12;1092.35;1418.38
2020-09-15 13;1035.51;1418.38
2020-09-15 14;1038.69;1418.38
2020-09-15 15;906.50;1418.38
2020-09-15 16;707.70;1418.38
2020-09-15 17;334.45;1418.38
2020-09-15 18;39.62;1418.38
2020-09-15 19;0.42;1418.38
2020-09-15 20;0.21;1418.38
2020-09-15 21;0.15;1418.38
2020-09-15 22;0.14;1418.38
2020-09-15 23;0.19;1418.38
2020-09-16 00;0.19;1418.38
2020-09-16 01;0.18;1418.38
2020-09-16 02;0.14;1418.38
2020-09-16 03;0.18;1418.38
2020-09-16 04;0.18;1418.38
2020-09-16 05;0.18;1418.38
2020-09-16 06;19.84;1418.38
2020-09-16 07;230.93;1418.38
2020-09-16 08;590.24;1418.38
2020-09-16 09;817.25;1418.38
2020-09-16 10;883.09;1418.38
2020-09-16 11;800.35;1418.38
2020-09-16 12;713.62;1418.38
2020-09-16 13;588.19;1418.38
2020-09-16 14;433.26;1418.38
2020-09-16 15;258.84;1418.38
2020-09-16 16;136.16;1418.38
2020-09-16 17;55.64;1418.38
2020-09-16 18;9.87;1418.38
2020-09-16 19;0.26;1418.38
2020-09-16 20;0.17;1418.38
2020-09-16 21;0.17;1418.38
2020-09-16 22;0.18;1418.38
2020-09-16 23;0.21;1418.38
2020-09-17 00;0.17;1418.38
2020-09-17 01;0.18;1418.38
2020-09-17 02;0.15;1418.38
2020-09-17 03;0.18;1418.38
2020-09-17 04;0.17;1418.38
2020-09-17 05;0.21;1418.38
2020-09-17 06;9.33;1418.38
2020-09-17 07;111.40;1418.38
2020-09-17 08;178.16;1418.38
2020-09-17 09;292.36;1418.38
2020-09-17 10;427.96;1418.38
2020-09-17 11;567.01;1418.38
2020-09-17 12;648.17;1418.38
2020-09-17 13;681.78;1418.38
2020-09-17 14;545.22;1418.38
2020-09-17 15;328.53;1418.38
2020-09-17 16;186.65;1418.38
2020-09-17 17;90.01;1418.38
2020-09-17 18;13.16;1418.38
2020-09-17 19;0.27;1418.38
2020-09-17 20;0.19;1418.38
2020-09-17 21;0.18;1418.38
2020-09-17 22;0.19;1418.38
2020-09-17 23;0.20;1418.38
2020-09-18 00;0.22;1418.38
2020-09-18 01;0.19;1418.38
2020-09-18 02;0.09;1418.38
2020-09-18 03;0.16;1418.38
2020-09-18 04;0.22;1418.38
2020-09-18 05;0.18;1418.38
2020-09-18 06;9.64;1418.38
2020-09-18 07;254.15;1418.38
2020-09-18 08;613.58;1418.38
2020-09-18 09;572.82;1418.38
2020-09-18 10;468.83;1418.38
2020-09-18 11;264.44;1418.38
2020-09-18 12;160.75;1418.38
2020-09-18 13;391.05;1418.38
2020-09-18 14;581.61;1418.38
2020-09-18 15;500.37;1418.38
2020-09-18 16;204.63;1418.38
2020-09-18 17;96.76;1418.38
2020-09-18 18;5.22;1418.38
2020-09-18 19;0.18;1418.38
2020-09-18 20;0.20;1418.38
2020-09-18 21;0.18;1418.38
2020-09-18 22;0.19;1418.38
2020-09-18 23;0.18;1418.38
2020-09-19 00;0.20;1418.38
2020-09-19 01;0.20;1418.38
2020-09-19 02;0.11;1418.38
2020-09-19 03;0.19;1418.38
2020-09-19 04;0.20;1418.38
2020-09-19 05;0.19;1418.38
2020-09-19 06;6.10;1418.38
2020-09-19 07;166.98;1418.38
2020-09-19 08;486.58;1418.38
2020-09-19 09;688.35;1418.38
2020-09-19 10;801.87;1418.38
2020-09-19 11;865.61;1418.38
2020-09-19 12;934.22;1418.38
2020-09-19 13;900.06;1418.38
2020-09-19 14;758.98;1418.38
2020-09-19 15;548.12;1418.38
2020-09-19 16;339.29;1418.38
2020-09-19 17;178.29;1418.38
2020-09-19 18;28.21;1418.38
2020-09-19 19;12.41;1418.38
2020-09-19 20;12.14;1418.38
2020-09-19 21;12.19;1418.38
2020-09-19 22;12.17;1418.38
2020-09-19 23;12.12;1418.38
2020-09-20 00;12.17;1418.38
2020-09-20 01;12.19;1418.38
2020-09-20 02;11.70;1418.38
2020-09-20 03;12.07;1418.38
2020-09-20 04;12.12;1418.38
2020-09-20 05;12.12;1418.38
2020-09-20 06;17.60;1418.38
2020-09-20 07;119.15;1418.38
2020-09-20 08;227.82;1418.38
2020-09-20 09;394.41;1418.38
2020-09-20 10;598.26;1418.38
2020-09-20 11;750.42;1418.38
2020-09-20 12;852.24;1418.38
2020-09-20 13;872.29;1418.38
2020-09-20 14;780.30;1418.38
2020-09-20 15;685.83;1418.38
2020-09-20 16;612.22;1418.38
2020-09-20 17;278.91;1418.38
2020-09-20 18;18.44;1418.38
2020-09-20 19;0.20;1418.38
2020-09-20 20;0.17;1418.38
2020-09-20 21;0.16;1418.38
2020-09-20 22;0.17;1418.38
2020-09-20 23;0.05;1418.38
2020-09-21 00;0.19;1418.38
2020-09-21 01;0.20;1418.38
2020-09-21 02;0.14;1418.38
2020-09-21 03;0.19;1418.38
2020-09-21 04;0.19;1418.38
2020-09-21 05;0.20;1418.38
2020-09-21 06;4.80;1418.38
2020-09-21 07;161.94;1418.38
2020-09-21 08;531.42;1418.38
2020-09-21 09;904.38;1418.38
2020-09-21 10;1070.10;1418.38
2020-09-21 11;1135.45;1418.38
2020-09-21 12;1146.66;1418.38
2020-09-21 13;1130.76;1418.38
2020-09-21 14;1106.06;1418.38
2020-09-21 15;976.27;1418.38
2020-09-21 16;731.41;1418.38
2020-09-21 17;314.06;1418.38
2020-09-21 18;20.93;1418.38
2020-09-21 19;0.37;1418.38
2020-09-21 20;0.20;1418.38
2020-09-21 21;0.21;1418.38
2020-09-21 22;0.21;1418.38
2020-09-21 23;0.19;1418.38
2020-09-22 00;0.24;1418.38
2020-09-22 01;0.23;1418.38
2020-09-22 02;0.13;1418.38
2020-09-22 03;0.26;1418.38
2020-09-22 04;0.11;1418.38
2020-09-22 05;0.15;1418.38
2020-09-22 06;10.02;1418.38
2020-09-22 07;217.95;1418.38
2020-09-22 08;529.38;1418.38
2020-09-22 09;856.71;1418.38
2020-09-22 10;1006.16;1418.38
2020-09-22 11;1124.98;1418.38
2020-09-22 12;1119.17;1418.38
2020-09-22 13;1067.37;1418.38
2020-09-22 14;940.28;1418.38
2020-09-22 15;713.66;1418.38
2020-09-22 16;499.75;1418.38
2020-09-22 17;176.26;1418.38
2020-09-22 18;12.96;1418.38
2020-09-22 19;1.33;1418.38
2020-09-22 20;1.24;1418.38
2020-09-22 21;1.29;1418.38
2020-09-22 22;1.23;1418.38
2020-09-22 23;1.25;1418.38
2020-09-23 00;1.25;1418.38
2020-09-23 01;1.25;1418.38
2020-09-23 02;1.20;1418.38
2020-09-23 03;1.24;1418.38
2020-09-23 04;1.25;1418.38
2020-09-23 05;0.87;1418.38
2020-09-23 06;3.51;1418.38
2020-09-23 07;110.98;1418.38
2020-09-23 08;415.54;1418.38
2020-09-23 09;688.14;1418.38
2020-09-23 10;887.74;1418.38
2020-09-23 11;920.16;1418.38
2020-09-23 12;782.84;1418.38
2020-09-23 13;763.28;1418.38
2020-09-23 14;677.55;1418.38
2020-09-23 15;499.97;1418.38
2020-09-23 16;309.07;1418.38
2020-09-23 17;104.37;1418.38
2020-09-23 18;9.03;1418.38
2020-09-23 19;0.19;1418.38
2020-09-23 20;0.19;1418.38
2020-09-23 21;0.19;1418.38
2020-09-23 22;0.16;1418.38
2020-09-23 23;0.18;1418.38
2020-09-24 00;0.18;1418.38
2020-09-24 01;0.19;1418.38
2020-09-24 02;0.13;1418.38
2020-09-24 03;0.18;1418.38
2020-09-24 04;0.19;1418.38
2020-09-24 05;0.22;1418.38
2020-09-24 06;2.19;1418.38
2020-09-24 07;32.37;1418.38
2020-09-24 08;92.67;1418.38
2020-09-24 09;223.40;1418.38
2020-09-24 10;343.17;1418.38
2020-09-24 11;411.50;1418.38
2020-09-24 12;385.50;1418.38
2020-09-24 13;502.03;1418.38
2020-09-24 14;502.78;1418.38
2020-09-24 15;547.89;1418.38
2020-09-24 16;428.31;1418.38
2020-09-24 17;171.59;1418.38
2020-09-24 18;6.31;1418.38
2020-09-24 19;0.20;1418.38
2020-09-24 20;0.20;1418.38
2020-09-24 21;0.18;1418.38
2020-09-24 22;0.19;1418.38
2020-09-24 23;0.19;1418.38
2020-09-25 00;0.20;1418.38
2020-09-25 01;0.19;1418.38
2020-09-25 02;0.13;1418.38
2020-09-25 03;0.18;1418.38
2020-09-25 04;0.18;1418.38
2020-09-25 05;0.20;1418.38
2020-09-25 06;10.09;1418.38
2020-09-25 07;283.78;1418.38
2020-09-25 08;748.32;1418.38
2020-09-25 09;978.27;1418.38
2020-09-25 10;1105.47;1418.38
2020-09-25 11;1228.14;1418.38
2020-09-25 12;1221.48;1418.38
2020-09-25 13;1217.20;1418.38
2020-09-25 14;1174.53;1418.38
2020-09-25 15;1026.38;1418.38
2020-09-25 16;746.53;1418.38
2020-09-25 17;282.60;1418.38
2020-09-25 18;19.83;1418.38
2020-09-25 19;0.18;1418.38
2020-09-25 20;0.19;1418.38
2020-09-25 21;0.21;1418.38
2020-09-25 22;0.22;1418.38
2020-09-25 23;0.18;1418.38
2020-09-26 00;0.28;1418.38
2020-09-26 01;0.22;1418.38
2020-09-26 02;0.19;1418.38
2020-09-26 03;0.20;1418.38
2020-09-26 04;0.22;1418.38
2020-09-26 05;0.19;1418.38
2020-09-26 06;10.58;1418.38
2020-09-26 07;320.11;1418.38
2020-09-26 08;775.27;1418.38
2020-09-26 09;994.54;1418.38
2020-09-26 10;1111.84;1418.38
2020-09-26 11;1172.02;1418.38
2020-09-26 12;1170.70;1418.38
2020-09-26 13;1170.29;1418.38
2020-09-26 14;1115.10;1418.38
2020-09-26 15;951.53;1418.38
2020-09-26 16;629.70;1418.38
2020-09-26 17;214.03;1418.38
2020-09-26 18;12.55;1418.38
2020-09-26 19;0.21;1418.38
2020-09-26 20;0.24;1418.38
2020-09-26 21;0.27;1418.38
2020-09-26 22;0.24;1418.38
2020-09-26 23;0.40;1418.38
2020-09-27 00;0.38;1418.38
2020-09-27 01;0.37;1418.38
2020-09-27 02;0.34;1418.38
2020-09-27 03;0.36;1418.38
2020-09-27 04;0.37;1418.38
2020-09-27 05;0.22;1418.38
2020-09-27 06;7.43;1418.38
2020-09-27 07;277.48;1418.38
2020-09-27 08;730.63;1418.38
2020-09-27 09;961.58;1418.38
2020-09-27 10;1033.03;1418.38
2020-09-27 11;1127.16;1418.38
2020-09-27 12;1153.31;1418.38
2020-09-27 13;1163.45;1418.38
2020-09-27 14;1101.53;1418.38
2020-09-27 15;946.41;1418.38
2020-09-27 16;756.91;1418.38
2020-09-27 17;301.37;1418.38
2020-09-27 18;18.79;1418.38
2020-09-27 19;1.22;1418.38
2020-09-27 20;0.21;1418.38
2020-09-27 21;0.16;1418.38
2020-09-27 22;0.21;1418.38
2020-09-27 23;0.22;1418.38
2020-09-28 00;0.20;1418.38
2020-09-28 01;0.20;1418.38
2020-09-28 02;0.15;1418.38
2020-09-28 03;0.20;1418.38
2020-09-28 04;0.19;1418.38
2020-09-28 05;0.21;1418.38
2020-09-28 06;8.48;1418.38
2020-09-28 07;305.04;1418.38
2020-09-28 08;748.02;1418.38
2020-09-28 10;1150.10;1418.38
2020-09-28 11;1175.31;1418.38
2020-09-28 12;1187.51;1418.38
2020-09-28 13;1172.68;1418.38
2020-09-28 14;1077.02;1418.38
2020-09-28 15;870.27;1418.38
2020-09-28 16;492.32;1418.38
2020-09-28 17;121.78;1418.38
2020-09-28 18;5.06;1418.38
2020-09-28 19;0.25;1418.38
2020-09-28 20;0.20;1418.38
2020-09-28 21;0.19;1418.38
2020-09-28 22;0.17;1418.38
2020-09-28 23;0.19;1418.38
2020-09-29 00;0.21;1418.38
2020-09-29 01;0.19;1418.38
2020-09-29 02;0.14;1418.38
2020-09-29 03;0.18;1418.38
2020-09-29 04;0.21;1418.38
2020-09-29 05;0.24;1418.38
2020-09-29 06;7.66;1418.38
2020-09-29 07;286.55;1418.38
2020-09-29 08;758.92;1418.38
2020-09-29 09;999.44;1418.38
2020-09-29 10;1098.42;1418.38
2020-09-29 11;1146.26;1418.38
2020-09-29 12;1156.45;1418.38
2020-09-29 13;1133.62;1418.38
2020-09-29 14;1067.18;1418.38
2020-09-29 15;947.40;1418.38
2020-09-29 16;678.19;1418.38
2020-09-29 17;233.57;1418.38
2020-09-29 18;5.25;1418.38
2020-09-29 19;0.22;1418.38
2020-09-29 20;0.20;1418.38
2020-09-29 21;0.18;1418.38
2020-09-29 22;0.20;1418.38
2020-09-29 23;0.25;1418.38
2020-09-30 00;0.22;1418.38
2020-09-30 01;0.20;1418.38
2020-09-30 02;0.13;1418.38
2020-09-30 03;0.18;1418.38
2020-09-30 04;0.19;1418.38
2020-09-30 05;0.19;1418.38
2020-09-30 06;4.65;1418.38
2020-09-30 07;224.28;1418.38
2020-09-30 08;635.80;1418.38
2020-09-30 09;797.19;1418.38
2020-09-30 10;953.58;1418.38
2020-09-30 11;1032.27;1418.38
2020-09-30 12;1027.21;1418.38
2020-09-30 13;914.42;1418.38
2020-09-30 14;770.00;1418.38
2020-09-30 15;530.45;1418.38
2020-09-30 16;329.97;1418.38
2020-09-30 17;157.68;1418.38
2020-09-30 18;8.25;1418.38
2020-09-30 19;0.28;1418.38
2020-09-30 20;0.21;1418.38
2020-09-30 21;0.23;1418.38
2020-09-30 22;0.20;1418.38
2020-09-30 23;0.18;1418.38
2020-10-01 00;0.20;1418.38
2020-10-01 01;0.16;1418.38
2020-10-01 02;0.14;1418.38
2020-10-01 03;0.14;1418.38
2020-10-01 04;0.27;1418.38
2020-10-01 05;0.35;1418.38
2020-10-01 06;3.65;1418.38
2020-10-01 07;200.52;1418.38
2020-10-01 08;648.99;1418.38
2020-10-01 09;973.22;1418.38
2020-10-01 10;1067.72;1418.38
2020-10-01 11;1068.56;1418.38
2020-10-01 12;1083.67;1418.38
2020-10-01 13;951.71;1418.38
2020-10-01 14;796.53;1418.38
2020-10-01 15;733.99;1418.38
2020-10-01 16;585.06;1418.38
2020-10-01 17;232.34;1418.38
2020-10-01 18;9.69;1418.38
2020-10-01 19;3.36;1418.38
2020-10-01 20;3.30;1418.38
2020-10-01 21;3.36;1418.38
2020-10-01 22;3.37;1418.38
2020-10-01 23;3.38;1418.38
2020-10-02 00;3.37;1418.38
2020-10-02 01;3.37;1418.38
2020-10-02 02;3.27;1418.38
2020-10-02 03;3.38;1418.38
2020-10-02 04;3.38;1418.38
2020-10-02 05;3.39;1418.38
2020-10-02 06;3.60;1418.38
2020-10-02 07;31.40;1418.38
2020-10-02 08;136.32;1418.38
2020-10-02 09;288.84;1418.38
2020-10-02 10;266.81;1418.38
2020-10-02 11;391.42;1418.38
2020-10-02 12;437.77;1418.38
2020-10-02 13;539.11;1418.38
2020-10-02 14;496.35;1418.38
2020-10-02 15;594.31;1418.38
2020-10-02 16;541.45;1418.38
2020-10-02 17;200.97;1418.38
2020-10-02 18;4.35;1418.38
2020-10-02 19;0.21;1418.38
2020-10-02 20;0.29;1418.38
2020-10-02 21;0.26;1418.38
2020-10-02 22;0.32;1418.38
2020-10-02 23;0.19;1418.38
2020-10-03 00;0.24;1418.38
2020-10-03 01;0.26;1418.38
2020-10-03 02;0.14;1418.38
