Timestamp;Measured energy production (MWh);Installed power (MW)
2020-09-05 12;1229.11;6163.77
2020-09-05 13;1097.87;6163.77
2020-09-05 14;1085.41;6163.77
2020-09-05 15;1220.06;6163.77
2020-09-05 16;1395.41;6163.77
2020-09-05 17;1670.45;6163.77
2020-09-05 18;2057.67;6163.77
2020-09-05 19;2542.98;6163.77
2020-09-05 20;2785.35;6163.77
2020-09-05 21;2903.99;6163.77
2020-09-05 22;3055.06;6163.77
2020-09-05 23;3099.13;6163.77
2020-09-06 00;3095.75;6163.77
2020-09-06 01;3058.38;6163.77
2020-09-06 02;2935;6163.77
2020-09-06 03;2825.21;6163.77
2020-09-06 04;2730.64;6163.77
2020-09-06 05;2597.26;6163.77
2020-09-06 06;2417.27;6163.77
2020-09-06 07;2304.38;6163.77
2020-09-06 08;2347.38;6163.77
2020-09-06 09;2267.61;6163.77
2020-09-06 10;2107.71;6163.77
2020-09-06 11;2005.27;6163.77
2020-09-06 12;1822.02;6163.77
2020-09-06 13;1736.15;6163.77
2020-09-06 14;1804.97;6163.77
2020-09-06 15;1943.84;6163.77
2020-09-06 16;1994.02;6163.77
2020-09-06 17;2195.48;6163.77
2020-09-06 18;2478.82;6163.77
2020-09-06 19;2829.85;6163.77
2020-09-06 20;3167.37;6163.77
2020-09-06 21;3372.96;6163.77
2020-09-06 22;3298.64;6163.77
2020-09-06 23;3161.64;6163.77
2020-09-07 00;2942.84;5911.61
2020-09-07 01;2837.19;5936.04
2020-09-07 02;2737.39;5928.37
2020-09-07 03;2632.7;5930.56
2020-09-07 04;2421.32;5922.77
2020-09-07 05;2217.66;5933.74
2020-09-07 06;2092.49;5930.28
2020-09-07 07;2257.47;5940.4
2020-09-07 08;2204.83;6163.77
2020-09-07 09;2057.26;6163.77
2020-09-07 10;2280.62;5967.09
2020-09-07 11;3032.09;5985.02
2020-09-07 12;3182.56;5819.71
2020-09-07 13;3130.7;5798.27
2020-09-07 14;3031.69;5792.12
2020-09-07 15;2805.38;5782.14
2020-09-07 16;2865.56;5803.81
2020-09-07 17;2937.85;5794.14
2020-09-07 18;2956.72;5806.73
2020-09-07 19;3075.63;5790.21
2020-09-07 20;3103.66;5773.99
2020-09-07 21;3012.05;5781.14
2020-09-07 22;3114.08;5781.14
2020-09-07 23;3099.01;5878.71
2020-09-08 00;3116.05;5875.77
2020-09-08 01;3130.87;5883.78
2020-09-08 02;3015.16;5888.55
2020-09-08 03;2646.81;5955.96
2020-09-08 04;2403.33;5940.05
2020-09-08 05;2298.15;5955.95
2020-09-08 06;2384.4;5955.96
2020-09-08 07;2214.95;5955.96
2020-09-08 08;2165.38;5955.96
2020-09-08 09;1913.57;5955.96
2020-09-08 10;1528.09;5955.96
2020-09-08 11;1476.3;5955.96
2020-09-08 12;1377.6;5955.94
2020-09-08 13;1164.95;5955.95
2020-09-08 14;1130.41;5955.96
2020-09-08 15;1012.56;5955.95
2020-09-08 16;824.53;5955.96
2020-09-08 17;637.9;5955.96
2020-09-08 18;518.31;5955.95
2020-09-08 19;539.85;5955.97
2020-09-08 20;704.51;5955.96
2020-09-08 21;938.18;5955.95
2020-09-08 22;1229.36;5955.96
2020-09-08 23;1431.65;5955.95
2020-09-09 00;1366.31;5955.96
2020-09-09 01;1115.91;5955.94
2020-09-09 02;1042.6;5955.96
2020-09-09 03;909.43;5955.96
2020-09-09 04;785.55;5955.97
2020-09-09 05;626.9;5955.95
2020-09-09 06;617.29;5955.94
2020-09-09 07;498.07;5955.96
2020-09-09 08;345.79;5955.97
2020-09-09 09;310.8;5955.95
2020-09-09 10;148.51;5955.93
2020-09-09 11;49.37;5920.66
2020-09-09 12;29.35;5955.94
2020-09-09 13;45.21;5955.96
2020-09-09 14;78.93;5955.96
2020-09-09 15;121.03;5955.97
2020-09-09 16;186.49;5955.96
2020-09-09 17;298.91;5955.95
2020-09-09 18;452.81;5955.96
2020-09-09 19;682.07;5955.95
2020-09-09 20;928.06;5955.95
2020-09-09 21;1179.4;5955.96
2020-09-09 22;1495.76;5955.96
2020-09-09 23;1625.27;5955.96
2020-09-10 00;1735.99;5955.96
2020-09-10 01;1772.52;5955.95
2020-09-10 02;1867.71;5955.96
2020-09-10 03;1728.16;5955.96
2020-09-10 04;1576.2;5955.95
2020-09-10 05;1433.17;5955.96
2020-09-10 06;1376.11;5955.96
2020-09-10 07;1163.66;5955.97
2020-09-10 08;956.63;5955.96
2020-09-10 09;678.57;5955.96
2020-09-10 10;408.91;5955.95
2020-09-10 11;321.33;5955.95
2020-09-10 12;330.45;5955.96
2020-09-10 13;334.99;6163.77
2020-09-10 14;361.81;6163.77
2020-09-10 15;413.13;6163.77
2020-09-10 16;420.08;6163.77
2020-09-10 17;425.21;6163.77
2020-09-10 18;486.67;6163.77
2020-09-10 19;508.7;6163.77
2020-09-10 20;665.38;6163.77
2020-09-10 21;797.91;6163.77
2020-09-10 22;1119.8;6163.77
2020-09-10 23;1242.08;6163.77
2020-09-11 00;1393.61;6163.77
2020-09-11 01;1376.69;6163.77
2020-09-11 02;1452.7;6163.77
2020-09-11 03;1335.86;6163.77
2020-09-11 04;1258.01;6163.77
2020-09-11 05;1231.63;6163.77
2020-09-11 06;1234.83;6163.77
2020-09-11 07;1194.52;6163.77
2020-09-11 08;1044.13;6163.77
2020-09-11 09;793.14;6163.77
2020-09-11 10;437.11;6163.77
2020-09-11 11;227.8;6163.77
2020-09-11 12;138.26;6163.77
2020-09-11 13;80.23;6163.77
2020-09-11 14;67.91;6163.77
2020-09-11 15;76.41;6163.77
2020-09-11 16;107.31;6163.77
2020-09-11 17;182.69;6163.77
2020-09-11 18;265.5;6163.77
2020-09-11 19;351.83;6163.77
2020-09-11 20;449.15;6163.77
2020-09-11 21;635.22;6163.77
2020-09-11 22;1027.48;6163.77
2020-09-11 23;1165.16;6163.77
2020-09-12 00;1224.17;6163.77
2020-09-12 01;1142.84;6163.77
2020-09-12 02;1064.81;6163.77
2020-09-12 03;864.94;6163.77
2020-09-12 04;655.83;6163.77
2020-09-12 05;604;6163.77
2020-09-12 06;526.27;6163.77
2020-09-12 07;586.16;6163.77
2020-09-12 08;744.76;6163.77
2020-09-12 09;845.79;6163.77
2020-09-12 10;696.33;6163.77
2020-09-12 11;360.45;6163.77
2020-09-12 12;258.31;6163.77
2020-09-12 13;207.32;6163.77
2020-09-12 14;257.21;6163.77
2020-09-12 15;266.47;6163.77
2020-09-12 16;218.04;6163.77
2020-09-12 17;260.61;6163.77
2020-09-12 18;352.73;6163.77
2020-09-12 19;482.53;6163.77
2020-09-12 20;649.8;6163.77
2020-09-12 21;1096.75;6163.77
2020-09-12 22;1823.26;6163.77
2020-09-12 23;2203.66;6163.77
2020-09-13 00;2096.37;6163.77
2020-09-13 01;1864.32;6163.77
2020-09-13 02;1621.75;6163.77
2020-09-13 03;1499.51;6163.77
2020-09-13 04;1438.29;6163.77
2020-09-13 05;1271.04;6163.77
2020-09-13 06;1198.71;6163.77
2020-09-13 07;1113.51;6163.77
2020-09-13 08;945.29;6163.77
2020-09-13 09;850.1;6163.77
2020-09-13 10;691.05;6163.77
2020-09-13 11;589.83;6163.77
2020-09-13 12;544.71;6163.77
2020-09-13 13;449.99;6163.77
2020-09-13 14;485.19;6163.77
2020-09-13 15;597.58;6163.77
2020-09-13 16;575.42;6163.77
2020-09-13 17;527.3;6163.77
2020-09-13 18;529.88;6163.77
2020-09-13 19;491.98;6163.77
2020-09-13 20;439.01;6163.77
2020-09-13 21;524.93;6163.77
2020-09-13 22;884.11;6163.77
2020-09-13 23;1266.56;6163.77
2020-09-14 00;1383.51;6163.77
2020-09-14 01;1652.31;6163.77
2020-09-14 02;1953.46;6163.77
2020-09-14 03;2164.11;6163.77
2020-09-14 04;2164.3;6163.77
2020-09-14 05;1969.63;6163.77
2020-09-14 06;1693.52;6163.77
2020-09-14 07;1588.71;6163.77
2020-09-14 08;1417.59;6163.77
2020-09-14 09;1231.54;6163.77
2020-09-14 10;937.6;6163.77
2020-09-14 11;824.43;6163.77
2020-09-14 12;785.54;6163.77
2020-09-14 13;789.06;6163.77
2020-09-14 14;871.7;6163.77
2020-09-14 15;950.4;6163.77
2020-09-14 16;945.01;6163.77
2020-09-14 17;1019.46;6163.77
2020-09-14 18;1028.22;6163.77
2020-09-14 19;771.22;6163.77
2020-09-14 20;901.6;6163.77
2020-09-14 21;953.46;6163.77
2020-09-14 22;1195.98;6163.77
2020-09-14 23;1229.5;6163.77
2020-09-15 00;928.8;6146.27
2020-09-15 01;1126.42;6146.27
2020-09-15 02;1011.54;6146.28
2020-09-15 03;709.67;6146.28
2020-09-15 04;463.8;6146.28
2020-09-15 05;409.89;6146.28
2020-09-15 06;402.48;6146.28
2020-09-15 07;386.43;6146.28
2020-09-15 08;407.56;6146.27
2020-09-15 09;581.18;6146.27
2020-09-15 10;583.15;6146.28
2020-09-15 11;554.89;6146.28
2020-09-15 12;522.94;6146.28
2020-09-15 13;559.06;6146.29
2020-09-15 14;659.38;6146.28
2020-09-15 15;815.73;6146.28
2020-09-15 16;781.83;6146.28
2020-09-15 17;730.59;6146.28
2020-09-15 18;662.57;6146.29
2020-09-15 19;527.62;6146.28
2020-09-15 20;317.55;6146.28
2020-09-15 21;205.27;6146.28
2020-09-15 22;171.2;6146.28
2020-09-15 23;200.72;6146.29
2020-09-16 00;239.04;6146.28
2020-09-16 01;214.17;6146.27
2020-09-16 02;189.41;6146.28
2020-09-16 03;106.59;6146.28
2020-09-16 04;71.35;6146.28
2020-09-16 05;49.7;6146.27
2020-09-16 06;33.98;6146.28
2020-09-16 07;59.79;6146.28
2020-09-16 08;98.03;6146.28
2020-09-16 09;141.57;6146.28
2020-09-16 10;181.51;6146.27
2020-09-16 11;140.01;6146.28
2020-09-16 12;124.64;6146.29
2020-09-16 13;160.99;6146.27
2020-09-16 14;191.1;6146.27
2020-09-16 15;202.48;6146.28
2020-09-16 16;194.09;6146.28
2020-09-16 17;252.51;6146.27
2020-09-16 18;378.6;6146.28
2020-09-16 19;480.58;6146.28
2020-09-16 20;583.43;6146.29
2020-09-16 21;735.73;6146.28
2020-09-16 22;1192.9;6146.28
2020-09-16 23;1265.89;6146.27
2020-09-17 00;1217.19;6146.27
2020-09-17 01;1551.13;6146.28
2020-09-17 02;1632.91;6146.28
2020-09-17 03;1797.93;6146.29
2020-09-17 04;1265.72;6146.28
2020-09-17 05;1048.48;6146.28
2020-09-17 06;1162.15;6146.28
2020-09-17 07;1211.12;6146.28
2020-09-17 08;1188.16;6146.28
2020-09-17 09;1182.72;6146.29
2020-09-17 10;1086.78;6146.28
2020-09-17 11;992.97;6146.28
2020-09-17 12;1063.39;5968.39
2020-09-17 13;1424.26;5968.38
2020-09-17 14;1480.62;6146.29
2020-09-17 15;1787.5;6146.28
2020-09-17 16;1708.39;6146.27
2020-09-17 17;1726.88;6146.27
2020-09-17 18;1867.83;6146.28
2020-09-17 19;1916.69;6146.28
2020-09-17 20;1735.82;6146.27
2020-09-17 21;1626.13;6146.28
2020-09-17 22;1607.19;6146.28
2020-09-17 23;1809.98;6146.28
2020-09-18 00;2676.83;6146.27
2020-09-18 01;2507.41;6146.28
2020-09-18 02;2600.78;6146.28
2020-09-18 03;1919.9;6146.27
2020-09-18 04;1794.03;6146.27
2020-09-18 05;1872.88;6146.28
2020-09-18 06;2192.31;6146.28
2020-09-18 07;1847.36;6146.28
2020-09-18 08;1464.39;6146.28
2020-09-18 09;1244.39;6146.28
2020-09-18 10;1411.51;6146.28
2020-09-18 11;1485.22;6146.28
2020-09-18 12;1838.34;6146.28
2020-09-18 13;2047;6146.28
2020-09-18 14;1830.61;6146.28
2020-09-18 15;1993.22;6146.27
2020-09-18 16;1775.52;6146.27
2020-09-18 17;1343.83;6019.35
2020-09-18 18;1171.84;6019.36
2020-09-18 19;1486.92;6019.16
2020-09-18 20;2600.76;6017.95
2020-09-18 21;2201.92;6018.96
2020-09-18 22;1697.38;5862.07
2020-09-18 23;1700.86;5862.46
2020-09-19 00;1483.68;6018.04
2020-09-19 01;1476.36;6020.17
2020-09-19 02;1640.92;6020.16
2020-09-19 03;1713.64;6020.17
2020-09-19 04;1993.4;6020.17
2020-09-19 05;1753.8;6020.17
2020-09-19 06;1639.42;6020.16
2020-09-19 07;1769;6019.96
2020-09-19 08;1996.67;6020.17
2020-09-19 09;2206.81;6020.15
2020-09-19 10;2161.14;6020.16
2020-09-19 11;2042.59;6020.16
2020-09-19 12;1973.27;6020.16
2020-09-19 13;1972.83;6020.16
2020-09-19 14;2058.65;6020.16
2020-09-19 15;2441.61;6020.19
2020-09-19 16;2873.96;6020.18
2020-09-19 17;2893.61;6020.16
2020-09-19 18;2741.6;6020.16
2020-09-19 19;2446.19;6020.18
2020-09-19 20;1716.8;6020.15
2020-09-19 21;1363.72;6020.17
2020-09-19 22;1189.22;6020.15
2020-09-19 23;1107.14;6020.19
2020-09-20 00;1022.49;6020.17
2020-09-20 01;1002.83;6020.18
2020-09-20 02;898.68;6020.17
2020-09-20 03;845.29;6020.16
2020-09-20 04;752.67;6020.17
2020-09-20 05;570.64;6020.16
2020-09-20 06;465.93;6020.15
2020-09-20 07;430.92;6020.16
2020-09-20 08;387.14;6020.16
2020-09-20 09;358.57;6020.16
2020-09-20 10;418.9;6020.15
2020-09-20 11;482.41;6020.16
2020-09-20 12;551.62;6020.17
2020-09-20 13;596.08;6020.17
2020-09-20 14;726.87;6020.17
2020-09-20 15;814.94;6020.15
2020-09-20 16;711.59;6020.15
2020-09-20 17;663.92;6020.16
2020-09-20 18;499.02;6020.15
2020-09-20 19;558.4;6020.15
2020-09-20 20;576.65;6020.16
2020-09-20 21;481.51;6020.16
2020-09-20 22;485.52;6020.19
2020-09-20 23;454.37;6020.16
2020-09-21 00;418.85;6020.15
2020-09-21 01;319.87;6020.15
2020-09-21 02;279.44;6020.15
2020-09-21 03;252.94;6020.18
2020-09-21 04;236.26;6020.15
2020-09-21 05;190.54;6020.16
2020-09-21 06;150.89;6020.15
2020-09-21 07;118.67;6020.14
2020-09-21 08;115.27;6020.18
2020-09-21 09;90.33;6020.13
2020-09-21 10;71.35;6020.16
2020-09-21 11;42.46;6020.16
2020-09-21 12;29.63;6020.17
2020-09-21 13;35.94;6020.17
2020-09-21 14;32.67;6020.16
2020-09-21 15;35.84;6020.15
2020-09-21 16;53.91;6020.15
2020-09-21 17;73.09;6020.17
2020-09-21 18;102.46;6020.18
2020-09-21 19;150.3;6020.18
2020-09-21 20;234.96;6020.16
2020-09-21 21;337.43;6020.17
2020-09-21 22;488.4;6020.16
2020-09-21 23;465.6;6020.18
2020-09-22 00;359.54;6020.17
2020-09-22 01;246.64;6020.16
2020-09-22 02;223.76;6020.16
2020-09-22 03;176.35;6020.17
2020-09-22 04;138.27;6020.15
2020-09-22 05;69.41;6020.17
2020-09-22 06;50.23;6020.14
2020-09-22 07;44.9;6020.17
2020-09-22 08;47.53;6020.15
2020-09-22 09;58.13;6020.14
2020-09-22 10;51.55;6020.15
2020-09-22 11;32.83;6020.19
2020-09-22 12;30.08;5526.69
2020-09-22 13;56.53;5526.67
2020-09-22 14;157.11;5526.7
2020-09-22 15;267.92;5526.69
2020-09-22 16;373.13;5526.69
2020-09-22 17;544.69;5526.67
2020-09-22 18;696.9;5526.68
2020-09-22 19;767.58;5526.67
2020-09-22 20;794.79;5526.69
2020-09-22 21;798.88;5526.72
2020-09-22 22;771.57;5526.68
2020-09-22 23;838.56;5526.66
2020-09-23 00;814.87;5526.71
2020-09-23 01;856.25;5526.67
2020-09-23 02;980.02;5526.68
2020-09-23 03;998.89;5526.69
2020-09-23 04;1044.67;5526.69
2020-09-23 05;1122.46;5526.68
2020-09-23 06;1152.58;5526.72
2020-09-23 07;1187.43;5526.7
2020-09-23 08;1223.81;5526.67
2020-09-23 09;1192.38;5526.67
2020-09-23 10;1285.62;5526.7
2020-09-23 11;1451.57;5526.68
2020-09-23 12;1571.13;5526.68
2020-09-23 13;1864.63;5526.67
2020-09-23 14;1947.58;5526.69
2020-09-23 15;2165.51;5526.69
2020-09-23 16;2457.91;5526.68
2020-09-23 17;2413.21;5526.68
2020-09-23 18;2415.4;5526.67
2020-09-23 19;2183.73;5526.69
2020-09-23 20;1757.52;5526.68
2020-09-23 21;1564.36;5526.7
2020-09-23 22;1703.52;5526.69
2020-09-23 23;1739.74;5526.68
2020-09-24 00;1504.11;5526.68
2020-09-24 01;1461.93;5526.67
2020-09-24 02;1512.05;5526.67
2020-09-24 03;1492.07;5526.7
2020-09-24 04;1485.6;5526.7
2020-09-24 05;1489.82;5526.69
2020-09-24 06;1381.81;5526.68
2020-09-24 07;1321.96;5526.71
2020-09-24 08;1302.48;5526.69
2020-09-24 09;1391;5526.7
2020-09-24 10;1346.15;5526.7
2020-09-24 11;1557.49;5526.67
2020-09-24 12;2050.06;5526.68
2020-09-24 13;2976.51;5526.68
2020-09-24 14;4061.52;5526.69
2020-09-24 15;4406.34;5526.69
2020-09-24 16;4542.4;5526.71
2020-09-24 17;4639.3;5526.7
2020-09-24 18;4673.23;5526.68
2020-09-24 19;4535.07;5526.69
2020-09-24 20;4331.18;5526.69
2020-09-24 21;4097.09;5526.68
2020-09-24 22;4082.05;5526.68
2020-09-24 23;4070.11;5526.69
2020-09-25 00;4166.39;5526.69
2020-09-25 01;4049.69;5522.25
2020-09-25 02;3845.68;5522.46
2020-09-25 03;3773.78;5522.25
2020-09-25 04;3692.57;5521.86
2020-09-25 05;3521.9;5521.65
2020-09-25 06;3413.28;5521.55
2020-09-25 07;3232.68;5521.05
2020-09-25 08;3236.34;5520.94
2020-09-25 09;3111.69;5521.15
2020-09-25 10;3164.33;5520.95
2020-09-25 11;3377.25;5520.95
2020-09-25 12;3438.39;5521.76
2020-09-25 13;3492.59;5521.65
2020-09-25 14;3520.46;5294.88
2020-09-25 15;3518.61;5796.57
2020-09-25 16;3363.89;5813.41
2020-09-25 17;3431.98;5821.48
2020-09-25 18;3498.56;5806.66
2020-09-25 19;3389.28;5923.35
2020-09-25 20;3081.95;5891.16
2020-09-25 21;2486.95;5911.93
2020-09-25 22;2292.43;5913.81
2020-09-25 23;2260.48;5865.08
2020-09-26 00;1934.82;5841.87
2020-09-26 01;1872.2;5859.76
2020-09-26 02;1803.78;5874.4
2020-09-26 03;1760.17;5879.39
2020-09-26 04;1747.61;5873.15
2020-09-26 05;1765.72;5870.93
2020-09-26 06;1859.82;5872.54
2020-09-26 07;1872.3;5863.07
2020-09-26 08;1698.94;5899.33
2020-09-26 09;1584.44;5899.54
2020-09-26 10;1552.11;6068.49
2020-09-26 11;1523.72;6146.27
2020-09-26 12;1566;6146.29
2020-09-26 13;1799.85;6146.28
2020-09-26 14;2043.72;6146.27
2020-09-26 15;2338.47;6146.27
2020-09-26 16;2538.66;6146.28
2020-09-26 17;3069.99;6146.28
2020-09-26 18;3380.16;6146.28
2020-09-26 19;3868.11;6146.28
2020-09-26 20;4010.92;6146.28
2020-09-26 21;3762.85;6146.28
2020-09-26 22;3954.53;6146.28
2020-09-26 23;3967.25;6146.27
2020-09-27 00;3753.17;6146.28
2020-09-27 01;3698.09;5991.28
2020-09-27 02;3612.36;5961.19
2020-09-27 03;3331.48;5950.06
2020-09-27 04;3127.95;5962.47
2020-09-27 05;2496.96;5963.64
2020-09-27 06;1883.12;5956.94
2020-09-27 07;1397.98;5958.82
2020-09-27 08;1322.3;5959.07
2020-09-27 09;1370.76;5933.99
2020-09-27 10;1465.42;5943.66
2020-09-27 11;1712.99;5927.43
2020-09-27 12;1691.68;5911.63
2020-09-27 13;1392.49;5924.62
2020-09-27 14;1157.85;5882.66
2020-09-27 15;1061.21;5880.79
2020-09-27 16;1010.28;5870.55
2020-09-27 17;1051.37;5862.6
2020-09-27 18;1096.92;5861.08
2020-09-27 19;1028.47;5862.56
2020-09-27 20;859.66;5859.68
2020-09-27 21;855.47;5851.3
2020-09-27 22;861.66;5846.66
2020-09-27 23;893.16;5857.64
2020-09-28 00;1055.39;5860.66
2020-09-28 01;986.43;5850.78
2020-09-28 02;940.87;5854.62
2020-09-28 03;978.23;5854.21
2020-09-28 04;1059.04;5850.49
2020-09-28 05;1059.42;5831.75
2020-09-28 06;938.53;5833.76
2020-09-28 07;741.06;5833.25
2020-09-28 08;733.91;6146.27
2020-09-28 09;647.42;6146.28
2020-09-28 10;647.42;6146.28
2020-09-28 11;647.42;6146.28
2020-09-28 12;647.42;6146.28
2020-09-28 13;364.29;6144
2020-09-28 14;286.38;6146.28
2020-09-28 15;274.64;6146.28
2020-09-28 16;236.53;6146.28
2020-09-28 17;235.22;6146.28
2020-09-28 18;239.06;6146.29
2020-09-28 19;245.53;6146.28
2020-09-28 20;296.88;6146.29
2020-09-28 21;312.76;6146.28
2020-09-28 22;364.29;6146.28
2020-09-28 23;387.94;6146.28
2020-09-29 00;367.98;6146.28
2020-09-29 01;387.84;6146.28
2020-09-29 02;374.64;6146.28
2020-09-29 03;335.9;6146.27
2020-09-29 04;251.82;6146.28
2020-09-29 05;185.39;6146.28
2020-09-29 06;146.44;6146.28
2020-09-29 07;169.09;6146.27
2020-09-29 08;140.2;6146.27
2020-09-29 09;113.07;6146.28
2020-09-29 10;110.43;6146.28
2020-09-29 11;69.76;5938.46
2020-09-29 12;51.63;5938.47
2020-09-29 13;46.62;5938.47
2020-09-29 14;36.76;5938.46
2020-09-29 15;43.18;5938.46
2020-09-29 16;40.11;5938.47
2020-09-29 17;47.02;5938.47
2020-09-29 18;55.99;5938.46
2020-09-29 19;58.27;5938.45
2020-09-29 20;64.73;5938.47
2020-09-29 21;104.24;5938.47
2020-09-29 22;125.64;5938.47
2020-09-29 23;99.82;5938.46
2020-09-30 00;87.86;5938.48
2020-09-30 01;66.55;5938.46
2020-09-30 02;59.16;5938.47
2020-09-30 03;58.08;5938.46
2020-09-30 04;52.48;5938.47
2020-09-30 05;48.46;5938.45
2020-09-30 06;75.92;5938.46
2020-09-30 07;144.64;5938.47
2020-09-30 08;228.22;5938.46
2020-09-30 09;252.3;5938.46
2020-09-30 10;228.22;5938.46
2020-09-30 11;107.92;5938.45
2020-09-30 12;113.77;5938.46
2020-09-30 13;231.22;5938.46
2020-09-30 14;547.26;5938.47
2020-09-30 15;952.66;5938.44
2020-09-30 16;1218.92;5938.48
2020-09-30 17;1502.6;5938.46
2020-09-30 18;1769.7;5938.47
2020-09-30 19;1799.15;5938.46
2020-09-30 20;1713.66;5938.46
2020-09-30 21;1863.44;5938.47
2020-09-30 22;2116.46;5938.44
2020-09-30 23;2378.75;5938.44
2020-10-01 00;2288.88;5938.47
2020-10-01 01;2158.59;5938.47
2020-10-01 02;2232.09;5938.46
2020-10-01 03;2341.06;5938.48
2020-10-01 04;2472.77;5938.48
2020-10-01 05;2486.37;5938.47
2020-10-01 06;2277.19;5938.46
2020-10-01 07;2022.72;5938.47
2020-10-01 08;1756.52;5938.47
2020-10-01 09;1549.92;5938.48
2020-10-01 10;1322.4;5938.47
2020-10-01 11;1109.07;5937.17
2020-10-01 12;1073.16;5937.76
2020-10-01 13;1214.19;5937.47
2020-10-01 14;1534.19;5938.47
2020-10-01 15;2011.32;5938.46
2020-10-01 16;2523.86;5938.46
2020-10-01 17;2736.59;5445
2020-10-01 18;3148.34;5938.47
2020-10-01 19;3710.61;5938.47
2020-10-01 20;3876.66;5938.46
2020-10-01 21;4064.8;5938.47
2020-10-01 22;4313.12;5938.47
2020-10-01 23;4604.68;5938.47
2020-10-02 00;4649.28;5938.47
2020-10-02 01;4675.38;5938.47
2020-10-02 02;4573.55;5938.47
2020-10-02 03;4530.57;5938.47
2020-10-02 04;4482.55;5938.47
2020-10-02 05;4321.87;5938.47
2020-10-02 06;4373.76;5938.47
2020-10-02 07;4198.31;5937.3
2020-10-02 08;4178.06;5938.47
